aymara,spanish
Jaljtayaña,"Hacer separar, lugar donde se separan"
Jaljtayiri,"El que separa un matrimonio, (juez)"
Jalkataña,Subir apresurado cuesta arriba
Jalliraña,Escoger mejores tubérculos crudos o cocidos
Jallk'a,"Miedoso, cobarde. Parte delicada de una persona"
Jallk'asiña,"Acobardarse, desmayar en acometer o proseguir"
Jallk'asiri,El que se acobarda
Jallpa,Plato de comida andina que se prepara en la fecha festivos. Papa molida
Jallpaña,"Lamer, comer con los dedos un plato de lagua o sopa"
Jallparaña,Limpiar con el dedo
Jallpasiña,Lamerse
Jallpsuña,"Comer todo, limpiar lamiendo el plato"
Jallu,Lluvia
Jallukipa,Llovizna
Jallukipaña,Estar lloviendo. Llover poco
Jalluña,"Lugar donde siempre llueve, Tierra donde llueve bien a su tiempo. Llover"
Jallupacha,Tiempo de lluvia
Jalluxataña,"Lloviznar, Rocío"
Jalq'a,"Farsante, simulador"
Jalqataña,"Ayudar, favorecer. Encontrar apresurado"
Jalqatiri,Uno que tiene quién Le ayude
Jalsu,"Filtra, sale"
Jalsuña,Salirse de entre muchos. Subir cuesta arriba. Volar
Jaltaña,"Elevarse, Volar"
Jalthaptaña,"Hacer que se encoja. Encogerse, acobardarse"
Jalthaptiri,Cosa que se encoge
Jalthaptäña,Hacer encoger
Jaltäña,Hacer volar. Mecer una mujer encinta para acomodar en su lugar el feto
Jalxataña,Encontrar apresuradamente
Jaläña,Hacer dividir con otra persona
Jama,Excremento de personas y animales
Jamach'a,Afrecho o cosa cernida
Jamach'i,Pájaro
Jamakipaña,Echar excremento en lugar ajeno
Jamaña,Lugar donde se echan los excremento. Ir de cuerpo.
Jamasata,Hacer algo a escondidas
Jamast'aña,Cubrir los ojos
Jamillu,Nombre de una planta medicinal
Jamp'atiri,Persona que besa
Jamp'atisiña,Besarse con otra persona
Jamp'atisxaña,Volver a besarse
Jamp'i,Maíz o trigo tostado. Medicina o emplasto para curar
Jamp'iña,Tostadora o recipiente para tostar
Jamp'iraña,Tostar en cantidades
Jamp'iri,Persona que tuesta maíz o trigo
Jamp'suña,Tostar maíz o trigo
Janak'achaña,Hacer rápido
Janakipaña,"Cubrir, Cubrirlo todo"
Janarxaña,Quitar la cubierta
Janchi,Piel del ser humano y animal
Janchini,Animal que tiene mucha carne
Jani,No
Jani munti,No quiero
Janihua utquiti,No tengo
Janihuiri,Inmortal
Janirja,Aún no es tiempo
Janjatasiña,Cubrirse
Jankkachaña,Apurar
Janq'u,Blanco
Janq'uchaña,Blanquear. Volver blanco
Jant'aku,"Alfombra, sábana, cuero, etc."
Jant'akuña,Tender algo en el suelo
Jant'akuni,"El que tiene tendido, alfombra, frazada etc."
Jantaksuña,"Llenar de tendido un ambiente, un lugar"
Janthapiña,Recoger la ropa
Janxataña,"Cubrir por encima, cubrirse"
Japt'aña,Anochecer o entrar muy tarde
Japu,Seco
Japuchaña,Secar o quemar así la tierra
Jaqi,"Persona, Ser humano"
Jaqichaña,"Casarse o tomar matrimonio, Matrimoniarse"
Jaqikankaña,El ser o la naturaleza humana
Jaqimasi,De la misma especie humana
Jaqsuña,"Expulsar, botar"
Jaqsuri,"El que bota hacia arriba, el que bota hacia afuera"
Jaqsuyaniña,Hacer botar
Jaraña,"Desatar, descomponer, desarmar"
Jarapi,Costilla
Jaraqaña,Soltar los animales atados
Jararankhu,Flojo. Lagarto.
Jararasiña,Desatarse
Jararpäña,"Desatar un animal atado, deshacer, descargar"
Jarasiña,Desatar un tejido
Jariña,Lavar. Recipiente para lavar.
Jariraña,Lavar algo
Jarisiña,Lavarse
Jarisxaña,Lavarse nuevamente
Jark'aña,"Atajar, proteger animales o personas"
Jark'antaña,Evitar que huya alguien
Jark'iri,"Persona que cuida que protege, policía, pastor"
Jarkaña,Atajar
Jarma,"Mineral, medicinal"
Jarphi,Parte delantera de la pollera
Jarphiña,Llevar en la falda
Jarphintaña,Llevar algo en el borde delantero de la pollera o falda
Jarphkataña,El contenido en una falda colocar sobre una parte alta
Jarphkatäña,Ordenara que coloque en un lugar elevada algo de la falda
Jarphnuqaña,Poner al suelo de la falda
Jarphsuña,"Alzar una porción de patatas, maíz en un aguayo o en un tari"
Jarpxaruña,"Recoger, tomar en falda"
Jarsuña,Lavar ollas u otros recipientes
Jaru,"Agrio, picante"
Jasaña,"Correr, caminar apresuradamente"
Jasaniña,Venir corriendo
Jasaqaña,Arrancar corriendo
Jasaraña,"Correrse, escaparse"
Jasi,"Escozor, picazón"
Jasiña,Escocer
Jat'iña,Cavar o hacer hoyos
Jat'isiña,Rascarse o arañarse
Jat'suña,Cavar sacando tierra
Jatha,"Casta, familiar, ayllu, casta de reyes. Semilla de plantas"
Jathaña,Engendrar
Jathi,"Pesado, grave"
Jawi,Lana trasquilada de oveja
Jawiña,Envolver lanas
Jawintaña,Untar o embarrar
Jawira,Río con o sin agua
Jawq'antaña,Azotar con cinturón
Jawq'araña,Azotar a todos. Sacudir la ropa u otras cosas
Jawq'asiña,"Azotarse así mismo, azotarse uno contra otro"
Jaya,Hilada de lana de oveja que se forma en la rueca. Adv. Lejanía
Jayani,Algo que tiene mucho tiempo de duración
Jayankaña,Estar lejos. Vivir lejos
Jayankiri,Persona que se encuentra lejos.
Jayapachaña,Tardar mucho rato
Jaychasiña,Reñir así uno a otro
Jaylliña,Cantar
Jayp'u,"Al anochecer, aunque también significa después de medio día"
Jayphu,Opaco
Jaypt'ayasiña,Hacerse atardecer. Caer la tarde
Jayra,Flojo
Jayraptaña,Volverse flojo
Jayrasiña,Tener flojera
Jayri,Noche sin luna
Jaysaña,Obedecer
Jayt'suña,"Sacar algo del horno con palo, sacar ceniza del fogón"
Jayt'uña,Objeto para sacar algo del horno
Jaytamukuña,Dejar desamparado
Jaytaniña,Ir a dejar
Jaytaraña,"Desamparar, dejar"
Jaytarapiña,"Dejar atrás en el camino, dejárselo en algún lugar"
Jaytjaña,Abandonar
Jaytkataniña,Dejar algo y regresar
Jayuk'ara,Salada
Jhakkachaña,Acercar
Jhaku,Harina
Jhakuña,"Contar, Preciar"
Jhakuta,Contado
Jhamachaña,Defender
Jhankkachata,Apurado
Jharaphi,Costilla
Jhilaña,Crecer
Jhiltjata,Crecido
Jhistaraña,"Abrir, Destapar"
Jhkusiña,Contarse
Jhucha,Culpa
Jhupañaqui,Accidente
Jich'jaña,Repartir algo por puñados
Jichha,"Ahora, en este momento"
Jichhu,Paja como hierba
Jichhüru,"Hoy día, en este día"
Jiguata,Muerto
Jijma,Mujer viuda
Jik'iña,Arrancar algo del suelo. Tener hipo.
Jik'iqaña,Arrancar malezas de los sembradíos. Desgajar las ramas de los árboles
Jik'qäña,Arrancar algo
Jikhaña,Llevar por delante un carnero u otro animal
Jikhani,Espalda
Jikharpäña,"Ahuyentar, echar de donde está"
Jikhsuña,Sacar algo
Jikhsuniña,Traerla. Terminar
Jikiña,"Encontrarse algo, alzarse de algún lugar"
Jikthaptaña,Encontrarse momentáneamente
Jila,"Demasiado, excesivo. s. Hermano"
Jilaña,"Crecer, madurar"
Jilani,El que tiene hermano
Jilankaña,Estar en primer lugar. Estar por demás
Jilankiri,El que está siempre arriba o adelante
Jilaqata,Autoridad andina con mayor poder
Jilarasiña,Hacerse sobrar
Jilaräña,Dejar sobras de algo
Jilïri,Persona que crece. Hermano mayor
Jilxataña,Ser más que otro
Jina,¡Vamos!
Jincht'aña,"Avisar, advertir, persuadir"
Jinchu,Oreja
Jinchuni,Persona obediente que escucha
Jinchuwisa,"Sordo, el que no escucha"
Jinthintaña,Entrar por atrás despacio
Jiphilla,Tripas de animales o de personas
Jipi,Saponina de la quinua
Jipichaña,Quitarle la saponina a la quinua
Jipilla,Tripa
Jipiña,Ponerse de cuclillas o de barriga como la oveja
Jipini,Algo que tiene saponina
Jipiskaña,Estar así sentado. Ponerse en cuclillas
Jipitataña,Echarse poco a poco de barriga
Jipt'aña,Echarse de barriga
Jipxataña,"Echarse sobre algo, o sobre alguien"
Jiq'iri,Persona que provoca el humo. Humo
Jiq'suña,Humear
Jiruña,Cuchara o palo para mover. Revolver líquido con palo o cuchara.
Jisa tata usutuwa,"Si señor, estoy enfermo"
Jisa wiragochay,"Si, señor"
Jisk'a,"Pequeño, menudo"
Jisk'achaña,"Despreciar, sin importar"
Jisk'achasiña,"Achicarse, no hacerse valer"
Jisk'anaka,Cosas pequeñas
Jisk'aptaña,"Volverse pequeño. Achicar, disminuir"
Jiska chimu,Agosto
Jiskallachi,Vejiga de las mujeres y hombres.
Jiskhaña,Llevar arrastrando con soga. s. Red para sacar algo
Jiskhaqaña,Alargar el estribo y cosas así
Jiskhatataña,"Alargar la soga, extender lienzos pellejos"
Jiskhiqaña,"Hacer preguntas de todo, interrogar"
Jiskhiri,Persona que lleva amarrado a un animal. adj. Preguntón
Jisksuña,Sacar algún palo o algo parecido de un hoyo
Jiskt'aña,"Preguntar, interrogar, objetar, cuestionar"
Jiskt'arapiña,"Pregunta a ruego a otro, preguntárselo"
Jit'aña,Cubrir o ponerse delante
Jithiña,Andar hacia atrás
Jithintaña,Entrar poco a poco a un espacio
Jithintäña,"Hacer entrar algo, empujar con cuidado para que entre algo"
Jithiqaña,"Apartarse, alejarse"
Jithiqtaña,"Disociarse, apartarse, dejar vía libre"
Jithiraña,Alejarse con cuidado de un lugar
Jithiräña,Quitar algo del precio que pide
Jithsuña,Salir despacio
Jiwamukuña,Morirse por ahí
Jiwaña,"Morir, dejar de existir"
Jiwanaqaña,Morir muchos en todas partes
Jiwaniña,Ir a morir a alguna parte
Jiwarpäña,Matar a alguien
Jiwayaña,Asesinar
Jiwayiri,Homicida
Jiwiña,Dormir Profundamente
Jiwiri,"El que muere, Mortal, que muere"
Jiwq'i/Jiq'i,Humo
Jiwq'ïña,"Provocar el humo, Hacer humear"
Jiwt'aña,Morir inesperadamente
Jiwxataña,Morir un otras otro
Jiwäsiña,Suicidarse
Jiwäwi,Haber muerto. Lugar donde murió.
Juch'usaptaña,"Adelgazar, Volver sencillo"
Juchachasiña,"Pecar, cometer cualquier pecado"
Juchanchaña,Culpar a alguien
Juchani,"El que tiene pecado, pecador. Culpable."
Jucharara,"Lleno de culpas o delitos, delincuente"
Juchartaña,Deshacerse la papa en la olla por el elevado calor
Juchhaña,Absorber
Juchikiña,"Disputar, discutir, debatir"
Juchusa,Delgado
Jucu,Búho
Juja,"Ágil, liviano"
Juk'a,"Menos, poco, escaso"
Juk'achaña,"Abreviar, hacer breve, reducir a menos tiempo o espacio"
Juk'apacha,"Poco tiempo, espacio de tiempo de poca duración"
Juk'aräña,"Amenguar, disminuir"
Juku,"Búho, ave rapaz nocturno"
Jukumari,Oso mamífero. Hombre mono
Julla,Tierno
Juma,"Pronombre personal singular de segunda persona, tú, usted"
Jumint'a,Pan que se hace del maíz molido en hojas de choclo
Jump'iña,"Sudar, transpirar"
Jumpi,Sudor
Jumpïri,Persona que transpira
Jumpiriri,Naturista
Juñi,"Madeja, hilo recogido en vueltas iguales"
Juniña,Hacer madejas de lana
Juñiri,Persona que hace el ovillo
Junt'aña,"Punzar, Pinchar"
Junt'u,"Caluroso, caliente"
Junt'uma,"Liquido hervido (té, café), Agua caliente"
Juntjituwa (thayjituwa),Tengo calor (frío)
Juntuchiri,Persona que calienta
Juntujtampi thayajtam ti ?,¿Tienes calor o frío?
Jununtaña,"Punzar, herir con punta, Inyectar"
Jununtayasiri,El que se hace inyectar
Jununtiri,El que inyecta
Jupa,"Pronombre personal singular de tercera persona él, ella"
Jupanakpura,Entre ellos o ellas
Jupapura,"Entre ellos dos, entre ellas"
Jupha,Quinua
Jupha llamayu,Abril
Jupuqu,Espuma
Juq'uchiri,Persona que remoja
Juq'ullu,"Renacuajo, Cría de ranas o sapos"
Juq'uña,"Empapar, mojar, remojar"
Juq'uyaña,"Macerar, hacer remojar una cosa en un líquido por largo tiempo"
Juqhu,Lodazal. Adv. Lugar lleno de lodo
Jura,Ganado sin cría
Juri,"Lodo, barro que se forma cuando llueve. Agua turbia. adj. Mojado"
Jurichaña,"Mojar, humedecer"
Juriptayaña,Poner turbia el agua u otro líquido.
Jurma,Moco
Jurma usu,"Gripe, enfermedad epidémica aguda"
Jurmarara,"Mocoso, niño de tierna edad"
Jurpuru,Pasado mañana
Jurqhiña,"Rasguñar, rascar, arañar"
Jurqhiri,Persona o animal que araña
Jusq'uña,"Frotar, Barnizar"
Jutam acaru,Ven aquí
Jutaña,Venir
Jutayaña,"Hacer venir, Llamar"
Jutiri,"Tiempo futuro, porvenir"
Juyaki,"Fresco, tranquilo"
Juykhu,"Ciego, no vidente"
Juykhuptaña,Perder la vista completamente
Juyku,Ciego
Juyphi,Helada
Juyra,"Quinua, o cualquier producto alimenticio"
K'acha,"Lindo, hermoso. Lento, despacio"
K'achachaña,"Decorar, adornar"
K'achaki,"Atractivo, bonito"
K'achata,Despacio
K'achataki,Con calma
K'achi,Diente incisivo
K'aja,Arroz cocido sin tostar
K'ajakaja,Tos fuerte
K'ajaraña,Reír a carcajadas
K'ajIli,Especie de hoz
K'ajiri,Algo que alumbra muy fuerte
K'ajkiri,"Brillante, nuevo"
K'ajlla,Ranura o abertura pequeña
K'ajtayaña,"Alumbrar, iluminar"
K'ak'a,Rajadura del terreno
K'ak'apalla,Llorón
K'ak'ara,Cresta de las aves
K'akalli,Rajadura de la planta de los pies
K'akaptaña,Agrietarse la piel con el frío
K'akuña,Moler los granos de quinua cocida con el cucharón de madera
K'alla,"Ave. Loro, perico"
K'allk'u,"Agrio, amargo"
K'allk'usiri,Persona que se amarga
K'allktata,Alimento agriado
K'allkusiña,Estar con vinagrera
K'ama,Caries dental
K'amiña,Dolor de muelas
K'ana,Trenza
K'anaña,"Trenzar, Trenzarse"
K'añana,Quejarse
K'añasawri,Escarabajo de color negro y algunas listadas
K'anasiyaña,Trabar los adobes
K'añayaña,"Fastidiar, molestar"
K'anchilla,Vanidoso
K'ank'a,Sucio. s. Gallo
K'anuña,Rumiar
K'anuri,Rumiante
K'anwa,Huevo
K'apa,"Objeto delicado, parecido al plástico cuando se seca"
K'apaqaña,Quebrar una parte de algún objeto
K'apha,Cartílago
K'aphalli,"Ardor en los costados del vientre por acumulación de gases, cuando uno corre le da flato"
K'aphu,"Peso exacto, Planta seca"
K'ara,Salado. s. Tejido tupido
K'arakiña,Crujir
K'araña,Salar mucho la comida
K'ari,Mentira
K'arintaña,"Calumniar, acusar. Culpado."
K'arintiri,"Falso, acusador"
K'arisiri,Mentiroso
K'ask'a,"Desabrido, agrio. Amargo"
K'assuña,Secar tubérculos o plantas
K'astu,Palo largo y delgado que se utiliza en las embarcaciones
K'asu,Persona desnutrida. Arrugado.
K'ata,"Rápido, veloz"
K'atalla,Poco
K'ataru,"Después, luego"
K'athuntata,Enredado
K'awchi,"Elástico, flexible"
K'awna,Huevo
K'awna sillp'i,Cáscara de huevo
K'awniri,Gallina ponedora
K'awsi,Mineral estaño
K'awsu,"Gancho largo de madera, garabato"
K'awt'ayaña,Doblar algo
K'awt'ayiri,El que dobla
K'awu,Torcido
K'ayra,"Rana, batracio"
K'chachasiña,Adornarse
K'ichi,Dolor en el estómago
K'ichiña,Pellizcar a alguien. Cosechar coca
K'ichinuqaña,Pellizcar en varios pedazos
K'ichiqaña,Quitar un pedazo a pellizcos
K'ichxasiri,Persona que pellizca
K'ichxataña,Aumentar pellizcando
K'ilaña,Arrancar flores o frutos
K'ilaqaña,Mutilado. v. Deshojar. Arrancar las ramas de un árbol
K'ili,Forma de tejido en la faja. Huella de zapato
K'ilik'li,Ave rapaz pequeña y silvestre
K'illphaña,Marcar a los animales en la oreja
K'illphiña,"Desportillar, desgastar"
K'illphiqata,Objeto desportillado
K'inchu,"Cintura, Talle"
K'ink'u,Arcilla fina que sirve para la fabricación de cerámica
K'ipha,Papa abandonada desde la anterior cosecha
K'irsuri,Persona que cambia el pañal al bebé
K'iruña,Envolver al niño u objetos. Pañal de bebé.
K'iruraña,Desenvolver
K'iruri,Persona que envuelve al bebé
K'iruta,Envuelto
K'isa,Fruta seca
K'isimira,Hormiga
K'isimira putu,Hormiguero
K'isk'i,"Tupido, apretado"
K'ispiña,Panecillo hecho de harina de quinua
K'istuña,Palito para remover la brasa
K'isuña,Raspar
K'isuraña,Raspar con algún objeto
K'itha,Persona que escapa. Adj. Fugitivo
K'ithaña,Machacar. Objeto para machucar.
K'ithasiña,Escaparse del hogar
K'ithiri,Persona hábil con el hacha
K'ithuntaña,Enredar el ovillo
K'ithuntiri,El que enreda
K'ithuta,Enredado
K'iwcha,Hígado
K'iyaña,Moler. Batán pequeño.
K'iyata,Molido
K'iyjaña,Moler a la brevedad posible y que sea bien finito
K'uchi,Alegre
K'uchiki,Lleno de alegría
K'uchirt'ayiri,El que hace alegrar
K'uchisiri,Persona que se alegra
K'uchu,"Rincón, ángulo de las paredes"
K'uchunchaña,Arrinconar las cosas
K'uchuñchasiña,"Arrinconarse, irse a un rincón"
K'uk'ara,De dedos encorvados
K'uk'illu,"Paralítico, Parálisis de las extremidades"
K'uk'u,Fruta verde
K'uku,Persona avara
K'ullaraña,Despuntar
K'ullk'jasiña,Apretarse
K'ullk'u,Angosto
K'ullu,"Tronco, madera"
K'ulluchasiña,Obstinarse. Encapricharse
K'ullujinchu,"Caprichoso, desobediente"
K'umara,"Saludable, sano"
K'umarachaña,Sanar a una persona
K'umarachasiña,Sanarse poco a poco
K'umaräña,Estar sano
K'umiña,"Censurar, Criticar a una persona"
K'umkataña,Acercarse agazapado
K'umphita,Voltear algo al reverso
K'umpiqaña,Bajar algo que está cubierto por un objeto
K'umpsuña,"Voltear el sombrero, poner el revés en la cara y viceversa"
K'umpxataña,Tapar un recipiente con otro
K'umsuña,Salir agachándose de algún lugar
K'umtata,Agachado
K'umu,Joroba
K'umu nasani,Persona que tiene nariz aguileña
K'umunaqaña,Andar cabizbajo. Ir agachado
K'uphaña,Golpear. s. Instrumento para golpear
K'upjaña,Dar golpes con el mazo
K'urk'unaqaña,"Presumir, andar sin dignarse a mirar"
K'urpha,Terrón. Pedazo de adobe
K'usa,"Chicha, bebida de maíz fermentada"
K'usani,Persona que elabora y vende la chicha
K'usillo,"Payaso, Mono"
K'usillusiña,Hacerse el payaso
K'usiwallu,Hormiga
K'usk'u,Adulador
K'usk'uña,Adular
K'usu,De oreja grande
K'uthaña,"Golpear algo, desmenuzar. Destruir golpeando, machucando"
K'utharaña,Sacar una cosa golpeando
K'uthasiña,Chancarse
K'uti,Pulga
K'utirara,"Pulgoso, persona que tiene pulgas"
K'utjata,"Machucado, partido"
K'utsuña,"Esculpir, hacer obras en escultura"
K'utu,Alimento a medio cocer
K'uyaña,"Tristeza, Tribulación"
K'uyk'a,Persona que come poco
K'uysi,Conejillo
Kaara,Cardo
Kachakipaña,Pasar por encima de algo o realizar un gran paso
Kachakipayaña,Hacer pasar a alguien de un gran paso
Kachakipt'aña,Pasar al otro lado por sí mismo
Kachaña,Ir a pasos largos flojamente
Kachanaqaña,Pasear sin rumbo. Vagar
Kacharpaya,Despedida de la fiesta
Kacharpayaña,Hacer la despedida
Kachata,Despacio
Kachatataña,Abrir las piernas estando parado
Kachatatayaña,Hacer que abra las piernas
Kachayaña,Hacer que alguien vaya contra su voluntad
Kachiri,Persona que camina a desgano
Kachst'aña,Dar un paso hacia afuera
Kachst'ayaña,Hacer que alguien salga afuera
Kachsuyaña,Sacar con lentitud. Pasar algo lentamente
Kachu,Pasto
Kachucha,Gorra con visera
Kachuma,Pepino de las indias
Kachxataña,Montar
Kachxatarapiña,Montárselo
Kachxatayaña,Ayudar a montar
Kajmay phajsi,Febrero
Kalachata,Empedrar
Kallach'uxña,Verde claro
Kallachi,Hombro
Kallampatu,Mariposa de gran tamaño de color azul y negro que vuela de día
Kallampiña,Llevar al difunto entre varias personas
Kallaña,"Llevar un muerto. Llevar un objeto de peso o en andas. Rallar, raspar."
Kallanka,Corral
Kallantaña,Meter un objeto de afuera hacia adentro
Kallanuqaña,Descargar intencionalmente
Kallapi,Anaranjado
Kallapiya,"Puente pequeño de acequia, hecha con tepes"
Kallapu,Camilla. Escalera artefacto con una serie de escalones
Kallaqarapiña,Bajar algo pesado para alguien
Kallaqata,Traslado. adv. Hacia abajo
Kallaqayasiña,Hacerse bajar
Kallara,Sombrero de alón grande
Kallarpayaña,Traslado de un objeto largo entre dos o más personas
Kallata,Rama
Kallawaya,"Médico herbolario ambulante de Charazani (Prov. Bautista Saavedra, La Paz)"
Kallcha,Haz de trigo
Kalliri,Persona que lleva las andas. Funeraria
Kallisak'a,Lanza de fuego rayo. Chispa eléctrica desprendida de una nube
Kallisaya,"Fuego que se para. Relámpago, ánimo y energía"
Kallka,Antigua sepultura aymara de piedras en forma cilíndrica
Kallkataña,Hacer pasar levantado
Kallkatarapiña,Poner al muerto encima o sobre algo
"Kallku, Jaru",Amargo
Kallsuña,Sacar algún objeto de adentro hacia afuera. Sacar al difunto
Kallxayaña,Hacer que fracase
Kamachaña,¡Que hacer!
Kamachi,Ley. Mandato
Kamachiri,Persona que hace. Hacendoso
Kamachisa,¡Qué hay!
Kamacht'akixa,¡Qué haré!
Kamacht'asiña,Palabra que muestra una actitud de impaciencia
Kamana,Encargado que tiene la misión de hacer algo
Kamani,Obligación comunal. Cuidador del sembradío. Digno.
Kamay phajsi,Enero
Kamisa,¿Cómo?
Kamisaki,¿Cómo estas? (Saludo)
Kamisakisktasa,¿Cómo estas? (Demuestra más interés)
Kamisaraki,¿Qué dice?
Kamisasa,¿Cómo es?
Kamisata,¿De cómo?
Kamsaña,¿Cómo decir?
Kamsañanisa,¿Qué vamos a decir?
Kamsapxisa,¿Qué dijeron?
Kamsasa,¿Qué digo?
Kamsisa,¿Qué dijo?
Kamsitusa,¿Que me dijo?
Kamstansa,¿Qué dijimos?
Kanka,Carne asada o frita
Kankakipaña,Refreír
Kankaña,Asar carne
Kankañani,Freiremos
Kankaraña,Asar en abundancia
Kankasiña,Asarse
Kankiri,"Persona que asa la carne. Chef, cocinero"
Kankjaña,Freír en exceso
Kankst'asiña,Prepararse el asado para sí mismo
Kanksuta,Carne bien asada
Kanstansa,¿Qué te dijo?
Kantaturu,Aurora
Kantayaña,Alumbrar
Kapachu,"Bolsa, alforja tejida como de los kallawayas"
Kapachuni,El que tiene la alforja
Kapaka-uta,Palacio
Kapi,Rabia
Kapisiña,"Enojarse, renegar."
Kapusiha,Hilarse
Kara,Árido
Karachi,"Sapo, Batracio"
Karghata,Cansado
Karipayaña,Engañar
Karisiña,Mentir
Karkasiña,Cansarse
Karpa,Toldo
"Kasarasiña, Jaqichasiña",Casarse
Kastachaña,"Ordenar, separar"
Kasu laphaqa,Septiembre
Katari,"Serpiente, víbora."
Katawi,Cal
Katiña,"Mango, agarradera. Agarrar."
Katjaña,Descubrir
Katkatasiri,El que agarra todo para sí mismo
Katsuña,Pescar
Katt'ana,Tener algo en las manos
Kattahapiña,Atrapar
Katthapiña,"Coger, Coger con la mano"
Katu katu,Crudo
Katukipa,Revendedor. Intermediario.
Katuntaña,Coger firmemente
Katuqaña,Recibir algo de alguien
Katuqarapiña,Recibir algo para alguien
Katuqayaña,Hacer recibir
Katuqiri,"Receptor (a), el que recibe algo"
Katurapiña,Sostener algo de alguien
Katuraqaña,Coger con intención. Guardárselo
Katurpayaña,Agarrar intencionalmente
Katusiña,Sujetarse de algo
Katusiyaña,Hacer concebir. Encender el fuego
Katusxaña,Adueñarse de algo
Katuyaña,"Entregar un ser pequeño o una cosa. Depositar, hacer pescar"
Katxa,Agarrado por la tierra. Es una creencia
Katxaña,"Atrapar, capturar. adj. El que está capturado"
Katxaraña,Agarrar a alguien de las manos
Katxarpayaña,Hacer agarrar a todos
Katxaruri,Persona que recibe el preste. (Pasante)
Katxarusiña,Agarrarse de alguien de las manos
Katxaruyaña,Entregar la responsabilidad de la organización de una fiesta a alguien
Katxasiña,Contener por la fuerza
Katxata,Atrapado
Katxataña,Volver a tomar o recibir algo
Katxayasiña,"Hacerse atrapar o descubrir, retener a la fuerza"
Katxiri,Diestro para agarrar. Atrapador.
Kauchina,Masticar
Kaukja,Cuanto
Kawallusiña,Subir a caballo
Kawaña,Bailar una rueda de gente tomándose de las manos
Kawantaña,Bailar así mucho tiempo
Kawkha,¿Dónde a dónde?
Kawkhansa,¿En qué lugar?
Kawkina,¿En donde?
Kawkinjama,¿Por donde?
Kawkinkirisa,¿De dónde es él o ella?
Kawkipacha,¿Hace qué tiempo?
Kawkipuni,¿Como siempre?
Kawkiri,¿Cuál?
Kawkirisa,¿Cuál es?
Kaya,Allá. Oca deshidratada.
Kayu,Pie
Kayumamani,Parte superior del pie (empeine)
Kayumuqu,Tobillo
Kayuwich'u,Canilla
Kayuwintu,Talón
Kellu,Amarillo
Kgamakge,Zorra
Kgara pekke,Calvo
Kgewicha,Maricón
Kgottasiña,Cantar
Khachaña,Roer
Khachillayasiña,Cosquillas
Khachiña,Piedra en el zapato
Khakhaña,"Balbucear, articular con dificultad"
Khakhantaña,Encajar
Khakharaña,Extraer cuerpos sólidos como desatando
Khakhuña,Limar
Khakhuraña,"Frotar, restregar con fuerza repetidas veces"
Khallu,Tubérculo semi crudo aún no cocido
Khana,"Claro, luz, visible."
Khanachaña,Declarar
Khantata,Aclarar
Khantati,"Amanecer, alba."
Khari,"Hierba de tierras calientes que corta, Personaje legendario que extrae grasa de la gente"
Khariña,Cortar
Khariqaña,Cortar una parte
Kharitataña,Cortar en varias partes
Kharkatisa,Temblar
Kharkka,Peña
Kharu/thutha,Polilla
Khasaña,Aumentar el volumen de algunos productos al cocer. Eructar
Khatatasiña,Amanecerse
Khatati,"Escalofrío, temblor."
Khathatiña,Temblar de frío
Khatiaña,Cocer
Khatita,Cocido
Khatu,Mercado
Khaya,"Aquel, aquella, aquello"
Khia,Algodón
Khichisa,Delgado
Khilla,Hierro
Khini,Arenoso
Khipiña,Restregar. Moverse como raspando al bailar
Khiri,Fogón
Khirkhi,Quirquincho
Khiru,Músculo de la nuca
Khispi,Vidrio
Khistuna,Mascar
Khistuña,Masticar
Khita,Correo
Khitaña,Mandar o enviar a alguien
Khitata,Enviado
Khitharpayaña,Despedir rápido
Khithxaña,"Licenciar, despedir a uno"
Khiti,¿Quién?
Khitiña,Enviar
Khitisiña,Cualquiera
Khituña,"Raspar, modelar raspando"
Khiwiña,"Llamar con gestos a alguien. Enrollar, ovillar. Agitar alguna cosa"
Khiwiraña,"Desovillar, deshacer los ovillos"
Khiwtaña,Ovillar hilado. Llamar con gestos de la mano. Llamar al espíritu perdido
Khokga,Árbol
Kholo,"Duro, Pararse fuerte"
"Kholo, thuru",Duro
Khomanta,Abrazo
Khuchhunuqaña,Despedazar telas o maderas con tijera o sierra
Khuchhuraña,Recortar lo que sobre de alguna cosa
Khuchi,"Puerco, cerdo. Sucio."
Khuchichaña,Ensuciar
Khuchuña,Cortar cabellos
Khula,Terrón que se levanta por el arado
Khullu,Medicamento. Codorniz.
Khumnuqaña,Descargar o poner al piso
Khumtaña,Transportar todo lo que hay
Khumu,Carga
Khumuña,Cargar. Cargar en camión o animal de carga.
Khumuri,Arriero
Khumxataña,Poner la carga sobre un animal o medio de transporte
Khuna,Nieve
Khunu,Nevada
Khunuña,Nevar
Khunupacha,Época de nieve
Khunuqullu,Montaña cubierta de nieve
Khuri,"Anterior, lejos allá. Aquel. Ese."
Khurimara,Anteaño
Khurkhu,"Travieso, el que todo lo transforma"
Khuräxa,Detrás de una montaña o cumbre
Khuskachaña,"Igualar. Nivelar la tierra, dejar llana una superficie. Emparejar."
Khuskha,"Igualdad de las cosas. Consecutivo, continuo"
Khusu,Espeso
Khusuchaña,Espesar
Khusuptayaña,Volver más espeso
Khuyaña,Complacer. Compadecer. Sentir compasión por el mal ajeno
